xLocation,yLocation,surveyPointElev,Z_depth,Z_use,Z_label,SurveyDateStamp,SurveyId,surveyPointIDPK,sdsID,sdsFeatureName,sdsFeatureDescription,sdsMetadataID,elevationDatum,elevationUOM,mediaIDFK,sourceType,surveyJobIDFK,channelAreaIDFK,xLocationUOM,yLocationUOM,Z_use_tin,Z_diff,geometry
875225.11,856987.16,16.31,16.31,16.31,16.3,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,16.36,-6.309999465942383,POINT (875225.1099385023 856987.1600811705)
874547.1,855605.17,-6.3,-6.3,-6.3,+6.3,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-6.25,14.300000190734863,POINT (874547.1001396663 855605.1700630039)
874523.11,855589.16,-7.09,-7.09,-7.09,+7.1,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-7.04,15.09000015258789,POINT (874523.1100301668 855589.1599244177)
874751.1,855395.17,5.12,5.12,5.12,5.1,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,5.17,2.880000114440918,POINT (874751.1000597514 855395.1701549217)
874579.12,855643.16,-5.77,-5.77,-5.77,+5.8,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-5.72,13.769999980926514,POINT (874579.1200887524 855643.1601445004)
874665.11,855983.16,10.6,10.6,10.6,10.6,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,10.65,-2.6000003814697266,POINT (874665.1100742519 855983.160120666)
874541.13,855811.18,-9.12,-9.12,-9.12,+9.1,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-9.07,17.119999885559082,POINT (874541.1300072521 855811.180149667)
874483.12,855805.17,-12.93,-12.93,-12.93,+12.9,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-12.88,20.93000030517578,POINT (874483.1199526675 855805.1699910834)
875329.12,857159.17,18.27,18.27,18.27,18.3,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,18.32,-8.270000457763672,POINT (875329.1199010834 857159.1699077561)
874741.13,855289.16,4.3,4.3,4.3,4.3,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,4.35,3.6999998092651367,POINT (874741.1299353354 855289.1598682553)
874607.1,855633.16,-1.87,-1.87,-1.87,+1.9,2025-03-25 00:00:00+00:00,LB_36_BAR_20250325_CS_ALL,,,,,,IGLD 85,usSurveyFoot,,sonarMultiBeam,,CELRB_LB_36_BAR,usSurveyFoot,usSurveyFoot,-1.82,9.870000004768372,POINT (874607.1000196673 855633.1598364189)
